indicator,industry_occupation,ind_occ_employment,total_studyarea_employment,ind_occ_employment_share,total_studyarea_laborforce,studyarea_unemployment,indoors_controlled,outdoors_exposed,outdoors_undercover,very_hot_very_cold,weighted_exposure,total_exposure,indoors_controlled_scaled,outdoors_exposed_scaled,outdoors_undercover_scaled,total_exposure_z,average_score_severity,weighted_score_severity,z_score_severity,geometry
INDUSTRY,AGRICULTURE FORESTRY FISHING AND HUNTING AND MINING,76,18389,0.0041329055413562455,19729,0.06792032034061535,48.483870967741936,55.946236559139784,34.5,48.483870967741936,47.273655913978494,46.31003584229391,0.7847694102026256,1.0244554204944942,1.1249754787512796,0.9780667698161332,Once a Year or More but Not Every Month,Once a Year or More but Not Every Month,High Exposure,"list(c(-75.148079, -75.148223, -75.148035, -75.147842, -75.149405, -75.152938, -75.154526, -75.156095, -75.159204, -75.162338, -75.165483, -75.16735, -75.169499, -75.169744, -75.170023, -75.170309, -75.170581, -75.170854, -75.171122, -75.171423, -75.172253, -75.171928, -75.165482, -75.160789, -75.149541, -75.149181, -75.148124, -75.147357, -75.147091, -75.146538, -75.148079, 39.919035, 39.920148, 39.921581, 39.924015, 39.924207, 39.924679, 39.924895, 39.925103, 39.925511, 39.92592, 39.926333, 39.926579, 
39.925531, 39.924409, 39.923138, 39.921885, 39.920653, 39.91941, 39.918152, 39.916757, 39.912388, 39.912348, 39.911531, 39.910942, 39.908703, 39.908642, 39.913772, 39.91509, 39.916341, 39.91884, 39.919035))"
INDUSTRY,ARTS ENTERTAINMENT AND RECREATION AND ACCOMMODATION AND FOOD SERVICES AND RETAIL TRADE,4349,18389,0.23650008157050412,19729,0.06792032034061535,22.88372093023256,28.41860465116279,15.820512820512821,22.88372093023256,22.97871198568873,22.374279467302724,-0.6273325653596126,-0.3539623784086136,-0.40943864711814737,-0.4635778636287912,Never Exposed,Never Exposed,Limited Exposure,"list(c(-75.171423, -75.172253, -75.171928, -75.165482, -75.160789, -75.149541, -75.149181, -75.148124, -75.147357, -75.147091, -75.146538, -75.148079, -75.148223, -75.148035, -75.147842, -75.149405, -75.152938, -75.154526, -75.156095, -75.159204, -75.162338, -75.165483, -75.16735, -75.169499, -75.169744, -75.170023, -75.170309, -75.170581, -75.170854, -75.171122, -75.171423, 39.916757, 39.912388, 39.912348, 39.911531, 39.910942, 39.908703, 39.908642, 39.913772, 39.91509, 39.916341, 39.91884, 39.919035, 
39.920148, 39.921581, 39.924015, 39.924207, 39.924679, 39.924895, 39.925103, 39.925511, 39.92592, 39.926333, 39.926579, 39.925531, 39.924409, 39.923138, 39.921885, 39.920653, 39.91941, 39.918152, 39.916757))"
INDUSTRY,CONSTRUCTION,1075,18389,0.058458861275762684,19729,0.06792032034061535,57.93421052631579,61.43421052631579,38.14666666666667,57.93421052631579,53.39794736842106,52.50502923976608,1.3060492910175123,1.2992600612118888,1.4245285013746838,1.343279284534695,Once a Month or More but Not Every Week,Once a Month or More but Not Every Week,Extreme Exposure,"list(c(-75.148079, -75.148223, -75.148035, -75.147842, -75.149405, -75.152938, -75.154526, -75.156095, -75.159204, -75.162338, -75.165483, -75.16735, -75.169499, -75.169744, -75.170023, -75.170309, -75.170581, -75.170854, -75.171122, -75.171423, -75.172253, -75.171928, -75.165482, -75.160789, -75.149541, -75.149181, -75.148124, -75.147357, -75.147091, -75.146538, -75.148079, 39.919035, 39.920148, 39.921581, 39.924015, 39.924207, 39.924679, 39.924895, 39.925103, 39.925511, 39.92592, 39.926333, 39.926579, 
39.925531, 39.924409, 39.923138, 39.921885, 39.920653, 39.91941, 39.918152, 39.916757, 39.912388, 39.912348, 39.911531, 39.910942, 39.908703, 39.908642, 39.913772, 39.91509, 39.916341, 39.91884, 39.919035))"
INDUSTRY,EDUCATIONAL SERVICES AND HEALTH CARE AND SOCIAL ASSISTANCE,4268,18389,0.23209527434879548,19729,0.06792032034061535,18.073529411764707,19.63235294117647,11.692307692307692,18.073529411764707,16.782692307692308,16.466063348416288,-0.8926622972599656,-0.7939248780226263,-0.7485473283329419,-0.811711501205178,Never Exposed,Never Exposed,Little to No Exposure,"list(c(-75.148079, -75.148223, -75.148035, -75.147842, -75.149405, -75.152938, -75.154526, -75.156095, -75.159204, -75.162338, -75.165483, -75.16735, -75.169499, -75.169744, -75.170023, -75.170309, -75.170581, -75.170854, -75.171122, -75.171423, -75.172253, -75.171928, -75.165482, -75.160789, -75.149541, -75.149181, -75.148124, -75.147357, -75.147091, -75.146538, -75.148079, 39.919035, 39.920148, 39.921581, 39.924015, 39.924207, 39.924679, 39.924895, 39.925103, 39.925511, 39.92592, 39.926333, 39.926579, 
39.925531, 39.924409, 39.923138, 39.921885, 39.920653, 39.91941, 39.918152, 39.916757, 39.912388, 39.912348, 39.911531, 39.910942, 39.908703, 39.908642, 39.913772, 39.91509, 39.916341, 39.91884, 39.919035))"
INDUSTRY,FINANCE AND INSURANCE AND REAL ESTATE AND RENTAL AND LEASING,1111,18389,0.06041655337429985,19729,0.06792032034061535,11.96875,14.75,7.433333333333334,11.96875,11.720625,11.38402777777778,-1.2294013810189963,-1.038403669992174,-1.0983979615613726,-1.1220676708575144,Never Exposed,Never Exposed,Unlikely to be Exposed,"list(c(-75.148079, -75.148223, -75.148035, -75.147842, -75.149405, -75.152938, -75.154526, -75.156095, -75.159204, -75.162338, -75.165483, -75.16735, -75.169499, -75.169744, -75.170023, -75.170309, -75.170581, -75.170854, -75.171122, -75.171423, -75.172253, -75.171928, -75.165482, -75.160789, -75.149541, -75.149181, -75.148124, -75.147357, -75.147091, -75.146538, -75.148079, 39.919035, 39.920148, 39.921581, 39.924015, 39.924207, 39.924679, 39.924895, 39.925103, 39.925511, 39.92592, 39.926333, 39.926579, 
39.925531, 39.924409, 39.923138, 39.921885, 39.920653, 39.91941, 39.918152, 39.916757, 39.912388, 39.912348, 39.911531, 39.910942, 39.908703, 39.908642, 39.913772, 39.91509, 39.916341, 39.91884, 39.919035))"
INDUSTRY,INFORMATION,442,18389,0.024036108543150796,19729,0.06792032034061535,11.518518518518519,7.962962962962963,6.8076923076923075,11.518518518518519,8.683048433048434,8.763057929724596,-1.2542361090783545,-1.3782575551698326,-1.1497908300187702,-1.2607614980889859,Never Exposed,Never Exposed,Unlikely to be Exposed,"list(c(-75.148079, -75.148223, -75.148035, -75.147842, -75.149405, -75.152938, -75.154526, -75.156095, -75.159204, -75.162338, -75.165483, -75.16735, -75.169499, -75.169744, -75.170023, -75.170309, -75.170581, -75.170854, -75.171122, -75.171423, -75.172253, -75.171928, -75.165482, -75.160789, -75.149541, -75.149181, -75.148124, -75.147357, -75.147091, -75.146538, -75.148079, 39.919035, 39.920148, 39.921581, 39.924015, 39.924207, 39.924679, 39.924895, 39.925103, 39.925511, 39.92592, 39.926333, 39.926579, 
39.925531, 39.924409, 39.923138, 39.921885, 39.920653, 39.91941, 39.918152, 39.916757, 39.912388, 39.912348, 39.911531, 39.910942, 39.908703, 39.908642, 39.913772, 39.91509, 39.916341, 39.91884, 39.919035))"
INDUSTRY,MANUFACTURING,1223,18389,0.06650715101419327,19729,0.06792032034061535,49.53982300884956,22.699115044247787,14.710280373831775,49.53982300884956,28.354677032503517,28.983072808976374,0.8430156298990834,-0.6403599261950759,-0.500637957506964,-0.09932741793431883,Once a Year or More but Not Every Month,Once a Year or More but Not Every Month,Below Average Exposure,"list(c(-75.148079, -75.148223, -75.148035, -75.147842, -75.149405, -75.152938, -75.154526, -75.156095, -75.159204, -75.162338, -75.165483, -75.16735, -75.169499, -75.169744, -75.170023, -75.170309, -75.170581, -75.170854, -75.171122, -75.171423, -75.172253, -75.171928, -75.165482, -75.160789, -75.149541, -75.149181, -75.148124, -75.147357, -75.147091, -75.146538, -75.148079, 39.919035, 39.920148, 39.921581, 39.924015, 39.924207, 39.924679, 39.924895, 39.925103, 39.925511, 39.92592, 39.926333, 39.926579, 
39.925531, 39.924409, 39.923138, 39.921885, 39.920653, 39.91941, 39.918152, 39.916757, 39.912388, 39.912348, 39.911531, 39.910942, 39.908703, 39.908642, 39.913772, 39.91509, 39.916341, 39.91884, 39.919035))"
INDUSTRY,OTHER SERVICES EXCEPT PUBLIC ADMINISTRATION,1129,18389,0.06139539942356844,19729,0.06792032034061535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"list(c(-75.148079, -75.148223, -75.148035, -75.147842, -75.149405, -75.152938, -75.154526, -75.156095, -75.159204, -75.162338, -75.165483, -75.16735, -75.169499, -75.169744, -75.170023, -75.170309, -75.170581, -75.170854, -75.171122, -75.171423, -75.172253, -75.171928, -75.165482, -75.160789, -75.149541, -75.149181, -75.148124, -75.147357, -75.147091, -75.146538, -75.148079, 39.919035, 39.920148, 39.921581, 39.924015, 39.924207, 39.924679, 39.924895, 39.925103, 39.925511, 39.92592, 39.926333, 39.926579, 
39.925531, 39.924409, 39.923138, 39.921885, 39.920653, 39.91941, 39.918152, 39.916757, 39.912388, 39.912348, 39.911531, 39.910942, 39.908703, 39.908642, 39.913772, 39.91509, 39.916341, 39.91884, 39.919035))"
INDUSTRY,PROFESSIONAL SCIENTIFIC AND MANAGEMENT AND ADMINISTRATIVE AND WASTE MANAGEMENT SERVICES,2257,18389,0.1227364185110664,19729,0.06792032034061535,28.163636363636364,37.07272727272727,19.346153846153847,28.163636363636364,29.082027972027973,28.194172494172495,-0.3360929045222016,0.07938389326968875,-0.11982719577010867,-0.1255120690075405,Once a Year or More but Not Every Month,Once a Year or More but Not Every Month,Below Average Exposure,"list(c(-75.148079, -75.148223, -75.148035, -75.147842, -75.149405, -75.152938, -75.154526, -75.156095, -75.159204, -75.162338, -75.165483, -75.16735, -75.169499, -75.169744, -75.170023, -75.170309, -75.170581, -75.170854, -75.171122, -75.171423, -75.172253, -75.171928, -75.165482, -75.160789, -75.149541, -75.149181, -75.148124, -75.147357, -75.147091, -75.146538, -75.148079, 39.919035, 39.920148, 39.921581, 39.924015, 39.924207, 39.924679, 39.924895, 39.925103, 39.925511, 39.92592, 39.926333, 39.926579, 
39.925531, 39.924409, 39.923138, 39.921885, 39.920653, 39.91941, 39.918152, 39.916757, 39.912388, 39.912348, 39.911531, 39.910942, 39.908703, 39.908642, 39.913772, 39.91509, 39.916341, 39.91884, 39.919035))"
INDUSTRY,PUBLIC ADMINISTRATION,964,18389,0.05242264397193975,19729,0.06792032034061535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"list(c(-75.148079, -75.148223, -75.148035, -75.147842, -75.149405, -75.152938, -75.154526, -75.156095, -75.159204, -75.162338, -75.165483, -75.16735, -75.169499, -75.169744, -75.170023, -75.170309, -75.170581, -75.170854, -75.171122, -75.171423, -75.172253, -75.171928, -75.165482, -75.160789, -75.149541, -75.149181, -75.148124, -75.147357, -75.147091, -75.146538, -75.148079, 39.919035, 39.920148, 39.921581, 39.924015, 39.924207, 39.924679, 39.924895, 39.925103, 39.925511, 39.92592, 39.926333, 39.926579, 
39.925531, 39.924409, 39.923138, 39.921885, 39.920653, 39.91941, 39.918152, 39.916757, 39.912388, 39.912348, 39.911531, 39.910942, 39.908703, 39.908642, 39.913772, 39.91509, 39.916341, 39.91884, 39.919035))"
INDUSTRY,TRANSPORTATION AND WAREHOUSING AND UTILITIES,887,18389,0.04823535809451302,19729,0.06792032034061535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"list(c(-75.148079, -75.148223, -75.148035, -75.147842, -75.149405, -75.152938, -75.154526, -75.156095, -75.159204, -75.162338, -75.165483, -75.16735, -75.169499, -75.169744, -75.170023, -75.170309, -75.170581, -75.170854, -75.171122, -75.171423, -75.172253, -75.171928, -75.165482, -75.160789, -75.149541, -75.149181, -75.148124, -75.147357, -75.147091, -75.146538, -75.148079, 39.919035, 39.920148, 39.921581, 39.924015, 39.924207, 39.924679, 39.924895, 39.925103, 39.925511, 39.92592, 39.926333, 39.926579, 
39.925531, 39.924409, 39.923138, 39.921885, 39.920653, 39.91941, 39.918152, 39.916757, 39.912388, 39.912348, 39.911531, 39.910942, 39.908703, 39.908642, 39.913772, 39.91509, 39.916341, 39.91884, 39.919035))"
INDUSTRY,WHOLESALE TRADE,608,18389,0.033063244330849964,19729,0.06792032034061535,53.857142857142854,61.70422535211268,35.23529411764706,53.857142857142854,51.409421233282046,50.265554108967535,1.0811586047635444,1.3127807753470666,1.1853757279629025,1.1931050360245046,Once a Month or More but Not Every Week,Once a Month or More but Not Every Week,Extreme Exposure,"list(c(-75.148079, -75.148223, -75.148035, -75.147842, -75.149405, -75.152938, -75.154526, -75.156095, -75.159204, -75.162338, -75.165483, -75.16735, -75.169499, -75.169744, -75.170023, -75.170309, -75.170581, -75.170854, -75.171122, -75.171423, -75.172253, -75.171928, -75.165482, -75.160789, -75.149541, -75.149181, -75.148124, -75.147357, -75.147091, -75.146538, -75.148079, 39.919035, 39.920148, 39.921581, 39.924015, 39.924207, 39.924679, 39.924895, 39.925103, 39.925511, 39.92592, 39.926333, 39.926579, 
39.925531, 39.924409, 39.923138, 39.921885, 39.920653, 39.91941, 39.918152, 39.916757, 39.912388, 39.912348, 39.911531, 39.910942, 39.908703, 39.908642, 39.913772, 39.91509, 39.916341, 39.91884, 39.919035))"
OCCUPATION,MANAGEMENT BUSINESS SCIENCE AND ARTS OCCUPATIONS,7588,18389,0.41263799010277885,19729,0.06792032034061535,22.668161434977577,21.941573033707865,15.185897435897436,17.474157303370788,20.132846874745653,19.931877301527628,-0.6392228077470502,-0.678293061680024,-0.4615687083607944,-0.5930281925959562,Never Exposed,Never Exposed,Little to No Exposure,"list(c(-75.148079, -75.148223, -75.148035, -75.147842, -75.149405, -75.152938, -75.154526, -75.156095, -75.159204, -75.162338, -75.165483, -75.16735, -75.169499, -75.169744, -75.170023, -75.170309, -75.170581, -75.170854, -75.171122, -75.171423, -75.172253, -75.171928, -75.165482, -75.160789, -75.149541, -75.149181, -75.148124, -75.147357, -75.147091, -75.146538, -75.148079, 39.919035, 39.920148, 39.921581, 39.924015, 39.924207, 39.924679, 39.924895, 39.925103, 39.925511, 39.92592, 39.926333, 39.926579, 
39.925531, 39.924409, 39.923138, 39.921885, 39.920653, 39.91941, 39.918152, 39.916757, 39.912388, 39.912348, 39.911531, 39.910942, 39.908703, 39.908642, 39.913772, 39.91509, 39.916341, 39.91884, 39.919035))"
OCCUPATION,NATURAL RESOURCES CONSTRUCTION AND MAINTENANCE OCCUPATIONS,1189,18389,0.06465821958779705,19729,0.06792032034061535,59.666666666666664,71.04065040650407,41.27642276422764,65.39024390243902,58.69918699186992,57.327913279132794,1.401611416035527,1.7802926381952717,1.681620247014104,1.6211747670816343,Once a Month or More but Not Every Week,Once a Month or More but Not Every Week,Extreme Exposure,"list(c(-75.148079, -75.148223, -75.148035, -75.147842, -75.149405, -75.152938, -75.154526, -75.156095, -75.159204, -75.162338, -75.165483, -75.16735, -75.169499, -75.169744, -75.170023, -75.170309, -75.170581, -75.170854, -75.171122, -75.171423, -75.172253, -75.171928, -75.165482, -75.160789, -75.149541, -75.149181, -75.148124, -75.147357, -75.147091, -75.146538, -75.148079, 39.919035, 39.920148, 39.921581, 39.924015, 39.924207, 39.924679, 39.924895, 39.925103, 39.925511, 39.92592, 39.926333, 39.926579, 
39.925531, 39.924409, 39.923138, 39.921885, 39.920653, 39.91941, 39.918152, 39.916757, 39.912388, 39.912348, 39.911531, 39.910942, 39.908703, 39.908642, 39.913772, 39.91509, 39.916341, 39.91884, 39.919035))"
OCCUPATION,PRODUCTION TRANSPORTATION AND MATERIAL MOVING OCCUPATIONS,2440,18389,0.13268802001196367,19729,0.06792032034061535,51.458064516129035,37.42948717948718,22.262820512820515,53.56410256410256,37.08806038047974,37.05012406947891,0.9488256590616455,0.09724827793803982,0.1197604594359962,0.38861146547856057,Once a Year or More but Not Every Month,Once a Year or More but Not Every Month,Moderate Exposure,"list(c(-75.148079, -75.148223, -75.148035, -75.147842, -75.149405, -75.152938, -75.154526, -75.156095, -75.159204, -75.162338, -75.165483, -75.16735, -75.169499, -75.169744, -75.170023, -75.170309, -75.170581, -75.170854, -75.171122, -75.171423, -75.172253, -75.171928, -75.165482, -75.160789, -75.149541, -75.149181, -75.148124, -75.147357, -75.147091, -75.146538, -75.148079, 39.919035, 39.920148, 39.921581, 39.924015, 39.924207, 39.924679, 39.924895, 39.925103, 39.925511, 39.92592, 39.926333, 39.926579, 
39.925531, 39.924409, 39.923138, 39.921885, 39.920653, 39.91941, 39.918152, 39.916757, 39.912388, 39.912348, 39.911531, 39.910942, 39.908703, 39.908642, 39.913772, 39.91509, 39.916341, 39.91884, 39.919035))"
OCCUPATION,SALES AND OFFICE OCCUPATIONS,3388,18389,0.18424057860677578,19729,0.06792032034061535,16.305555555555557,18.430555555555557,5.098039215686274,17.15277777777778,13.793300653594772,13.278050108932462,-0.9901835762929934,-0.8541036435827342,-1.2902291530574874,-1.0448387909777381,Never Exposed,Never Exposed,Unlikely to be Exposed,"list(c(-75.148079, -75.148223, -75.148035, -75.147842, -75.149405, -75.152938, -75.154526, -75.156095, -75.159204, -75.162338, -75.165483, -75.16735, -75.169499, -75.169744, -75.170023, -75.170309, -75.170581, -75.170854, -75.171122, -75.171423, -75.172253, -75.171928, -75.165482, -75.160789, -75.149541, -75.149181, -75.148124, -75.147357, -75.147091, -75.146538, -75.148079, 39.919035, 39.920148, 39.921581, 39.924015, 39.924207, 39.924679, 39.924895, 39.925103, 39.925511, 39.92592, 39.926333, 39.926579, 
39.925531, 39.924409, 39.923138, 39.921885, 39.920653, 39.91941, 39.918152, 39.916757, 39.912388, 39.912348, 39.911531, 39.910942, 39.908703, 39.908642, 39.913772, 39.91509, 39.916341, 39.91884, 39.919035))"
OCCUPATION,SERVICE OCCUPATIONS,3784,18389,0.20577519169068464,19729,0.06792032034061535,27.072164948453608,38.36082474226804,23.753086419753085,34.1958762886598,30.591905307369228,29.728692036824913,-0.3962983697007655,0.1438840465946298,0.24217736718762148,-0.0034123186395047245,Once a Year or More but Not Every Month,Once a Year or More but Not Every Month,Below Average Exposure,"list(c(-75.148079, -75.148223, -75.148035, -75.147842, -75.149405, -75.152938, -75.154526, -75.156095, -75.159204, -75.162338, -75.165483, -75.16735, -75.169499, -75.169744, -75.170023, -75.170309, -75.170581, -75.170854, -75.171122, -75.171423, -75.172253, -75.171928, -75.165482, -75.160789, -75.149541, -75.149181, -75.148124, -75.147357, -75.147091, -75.146538, -75.148079, 39.919035, 39.920148, 39.921581, 39.924015, 39.924207, 39.924679, 39.924895, 39.925103, 39.925511, 39.92592, 39.926333, 39.926579, 
39.925531, 39.924409, 39.923138, 39.921885, 39.920653, 39.91941, 39.918152, 39.916757, 39.912388, 39.912348, 39.911531, 39.910942, 39.908703, 39.908642, 39.913772, 39.91509, 39.916341, 39.91884, 39.919035))"
